phase,artifact_role,path,exists,sha256,status,claim_boundary
P209,safety_tests_json,paper/evidence/evidence_quality_safety_tests_p209.json,True,2539ceb7b482c30becf85f7619bd5e0e844a62bade86906446f4fcd83cbc29e5,PASS,Safety regression tests for evidence-quality tooling only.
P209,safety_tests_report,paper/export/evidence_quality_safety_tests_p209.md,True,48a8ffcde06a9b13f9df85a07eb2c123c3012e97cb33aa388f9ee7683d642e64,PASS,Safety regression tests for evidence-quality tooling only.
P210,ingestion_audit_json,paper/evidence/evidence_note_ingestion_audit_p210.json,True,38610f1c901201f30b7692ed9b9e87b4b57f135fd10fb9eb48e4b92b548bd630,READY_EMPTY,Quality-only ingestion audit; READY_EMPTY because all note fields are blank.
P210,ingestion_manifest_csv,paper/evidence/evidence_note_ingestion_manifest_p210.csv,True,ba94d197f611396080218c8424ccec3023dee3678cd6c4d1b030be42717fdd09,READY_EMPTY_QUALITY_ONLY,Quality-only ingestion audit; READY_EMPTY because all note fields are blank.
P210,ingestion_audit_report,paper/export/evidence_note_ingestion_audit_p210.md,True,403b81a6d21dc0eb7a1b7603451078dbfa6f41f4d6c03e77108bc92fbd24c51d,READY_EMPTY,Quality-only ingestion audit; READY_EMPTY because all note fields are blank.
P211,cross_phase_index_json,paper/evidence/cross_phase_evidence_index_p211.json,True,c47d1c0e11ee4457baf568ac127ea572839247173bd2be1683e9d101b198198f,PASS,Artifact governance index for the no-label evidence stack only.
P211,cross_phase_index_csv,paper/evidence/cross_phase_evidence_index_p211.csv,True,7ec955c3d00249660cfc0e6e4cb54a1cbb4b15c4ea6e04815590729c9d43497b,PASS,Artifact governance index for the no-label evidence stack only.
P211,cross_phase_index_report,paper/export/cross_phase_evidence_index_p211.md,True,c1b14556d997cc0083f7a3af791eaa246698285970f7e065c546b177c30af537,PASS,Artifact governance index for the no-label evidence stack only.
P212,release_governance_json,paper/evidence/release_governance_summary_p212.json,True,52a1ec728a7666cded88a881bdf27ba261afc846aaa4ff4f0b09053165f5fbaf,READY_NO_LABEL_EVIDENCE_ONLY,Release governance is READY_NO_LABEL_EVIDENCE_ONLY; learned admission remains blocked.
P212,release_governance_report,paper/export/release_governance_summary_p212.md,True,b7b3981d9501d9ced73d6161e35119a289911f56b10963175d360ca7a4d9b6a3,READY_NO_LABEL_EVIDENCE_ONLY,Release governance is READY_NO_LABEL_EVIDENCE_ONLY; learned admission remains blocked.
P213,cleanup_status,RESEARCH_PROGRESS.md,True,bf158f9f4c3256ae83a5473cdf11c44475cb83fbb1d64f137a53d12ed4851292,COMPLETE_READY_NO_LABEL_EVIDENCE_ONLY,Cleanup confirmed no-label release readiness without creating labels.
P214,bundle_builder_script,tools/build_evidence_only_release_bundle_p214.py,True,9a118741f758020b558047ecb91086d938cc68399197e4c6c9009077c298ab4e,BUILDS_EVIDENCE_ONLY_RELEASE_BUNDLE,"No-label evidence governance only; creates no admission/same-object labels, does not train, and does not support learned admission-control claims."
